Species_num,MBS,VSN,CSN,GSN,FPNr,SDLr,SCSr,SCGr,SMr,MTr,PA,PTMr,aNDSr,SVL,TRL,HL,PL,ESD,HW,HH,MO,FFL,HFL
3,45,24,7,23,15,19,5,7,1,2,3,5,2.9,53.5,27.6,17.8,11.9,7.6,7.2,5,9,18.7,29.4
3,43,25,7,29,20,19,6,10,2,2,2,4,3,52,28.1,16.2,11.8,7.8,6.6,5,9.7,20.1,28.2
3,45,23,8,23,15,19,6,8,1,3,3,3,2.9,52.5,28,17.4,12.2,8,7.6,5.1,9.4,20.4,30.5
3,50,24,7,31,15,19,6,12,2,3,2,3,3,55,28.6,19.5,11.7,8.4,7.2,5.5,9.5,20.8,31
3,45,25,7,20,15,18,7,11,2,3,2,4,2.7,55,27.3,18.5,12.4,8.4,7.6,5.1,9.9,20.2,28.2
3,47,23,7,28,16,19,6,12,2,2,3,4,3.3,51.5,26.8,18.2,12.1,7.7,7.1,5.4,9.7,19.8,29.5
3,44,25,9,24,15,21,5,7,0,0,2,5,2.7,53,27.8,17.2,12.7,8.2,7.6,4.7,9.5,19,30.5
3,46,24,7,25,15,20,6,10,1,2,2,2,2.4,55.5,28,19.4,12.8,8.3,7.6,5,10.6,18.3,26.4
3,46,24,8,23,14,18,7,8,2,2,2,5,2.5,58,29.3,20,12.7,8.5,7.6,5.2,9.5,20,28.5
3,42,24,8,25,15,18,5,6,0,2,3,4,2.9,56.5,26.6,19.5,12.7,8.5,7.8,5.8,11,20.6,31.4
3,43,22,8,24,16,21,6,9,1,2,2,5,3,56,28,19.6,13,8.7,7.6,5.9,9.6,19.8,28.5
3,44,25,9,24,18,17,6,10,2,2,3,3,2.7,55,28.6,18.1,12.3,8.3,8.4,5,9.8,20.5,30.3
3,42,23,10,24,15,27,6,4,1,2,3,5,2.7,57,27.3,17.6,13.4,9.3,7.7,5.6,9.8,20.3,29.8
3,45,22,7,23,16,25,4,6,0,2,3,6,3,55,29.7,19.6,12.9,8.6,7.4,5.4,10.7,20,29.8
3,42,24,10,18,12,17,5,10,1,2,2,4,2.4,57,29.8,20,12.6,8.4,8,5.8,9.4,20.3,31.5
3,46,25,8,22,16,27,5,7,1,2,2,3,2.9,53.5,31.5,18.8,12.3,8,7.2,5.4,9.3,19.2,28.3
4,48,24,9,32,20,21,6,7,1,3,3,6,2.9,70.5,35,23.8,16.4,10.8,10.1,6.9,14.3,27,38.2
3,40,23,7,21,18,26,7,8,0,1,2,4,2.9,57,30.8,20.2,13.1,8.5,8.5,6.1,11,19,28.7
3,41,19,7,20,15,26,5,9,0,0,2,3,3,59,31.6,29.6,13.6,8.6,9,5.7,9.7,20.5,30.5
3,49,25,9,23,15,26,7,12,1,2,2,4,2.8,58.5,29.8,20.9,13.2,8.9,8.3,5.5,10.6,22,32.5
3,45,23,8,22,15,25,6,11,1,3,2,3,2.9,59.5,28.8,20.4,13.4,9.3,8,5.2,10.8,21.3,29.5
3,49,23,8,26,14,24,6,11,2,2,3,5,2.8,53,25.2,18.5,11.7,7.7,7.3,4.6,8.5,19.4,29.5
3,45,24,7,23,15,27,7,9,1,1,3,4,2.7,56.5,30.2,19.6,12.8,8.9,7.5,5.7,10.4,21,29
3,45,22,8,22,15,28,5,4,1,2,2,4,3.2,59,32,20.5,13,8.7,7.7,5.5,10.5,21,30.5
3,46,24,7,23,17,22,6,7,0,2,2,4,2.9,59,30.7,19.7,12.8,7.8,7.5,5.4,10.6,20.2,28
3,41,23,7,22,17,26,7,11,1,2,3,5,2.5,58,33.7,19.8,13.4,8.8,7.5,5.4,9.6,19.7,31.2
3,43,23,7,20,16,24,5,9,0,0,2,4,2.7,56.5,27.5,19.1,12.6,8.4,7.5,5.7,9.7,20,29.5
3,44,25,8,24,17,25,5,4,0,1,2,4,2.8,60,29.5,19.8,12.7,7.7,7.7,6,10,21,30
3,47,23,8,22,16,27,6,7,1,1,3,4,3,53,27.4,18.4,12.5,7.3,5.6,9.4,10.4,20.9,29.2
3,42,23,9,22,15,22,5,10,1,1,2,4,3,57,32.5,19.3,13.2,9,7.7,5.9,10,20.5,29.5
3,41,24,8,24,16,19,5,11,1,1,2,3,2.9,58,31.7,20.7,13.5,9,7.5,5.4,9.9,21,29
3,45,24,8,21,15,26,4,10,1,2,2,4,3,53,30,17.5,12,8.6,6.8,4.8,9.3,18.2,26.5
3,42,26,9,26,17,27,5,6,1,2,2,1,3,63,31,22,14,9.3,7.9,6,9.7,22.4,32
3,45,23,7,22,16,25,6,7,1,2,2,4,3.1,52.5,29,18.9,12.5,8.3,6.8,5.1,9.7,20,29.5
3,37,24,7,17,16,19,6,13,0,1,2,4,2.1,53,29,15.8,11.5,7.5,6.7,5,9.2,19.3,30
3,48,23,8,23,18,26,6,6,1,1,3,4,3,55,28.7,18.6,12.6,8.3,8.4,5.7,10.5,18,29
3,46,24,7,24,16,29,7,12,2,2,3,4,2.8,55,31,18.3,12.6,8.8,7.9,5.5,9,18.8,29.2
3,45,24,8,23,16,26,7,10,1,2,3,3,2.9,58.5,30.8,20.2,13.1,8.9,8.8,6,9.5,20.3,30.9
3,48,23,7,22,15,27,5,11,1,2,2,4,2.8,57.5,30.1,19.8,12.8,8.7,8.7,5.9,9.7,21.7,32.4
3,42,22,9,22,15,24,5,8,1,2,2,3,2.7,57,29,19.7,13.5,8.7,8.9,6.1,9.4,19.8,31.2
3,45,23,8,25,18,27,7,10,1,2,2,4,2.8,50,25.7,17.3,11.8,7.9,7.7,5.3,8.2,18,30.2
4,49,25,9,30,19,25,7,5,1,2,1,3,2,72.5,38.6,23.8,16.9,10.7,10.9,7.6,14.2,24.7,42.9
3,46,22,8,22,14,28,6,9,1,2,2,3,2.9,54.5,27.9,18.4,12.8,8.2,8.3,5.5,9.2,18.6,30.3
4,46,25,9,29,20,24,6,4,1,2,1,1,2.9,57,27.1,19.6,13.2,8.1,8.3,5.9,8.8,21.6,33.8
4,48,23,10,33,20,24,6,6,1,2,3,1,2.8,57,28.8,20.1,14.1,8.8,8.6,6.2,9.9,20.8,34.4
3,46,22,8,21,14,25,6,9,0,0,2,1,2.8,53,26.1,18.2,12.6,8.5,8,5.6,8.6,19.8,31.5
3,44,24,7,23,18,26,6,7,0,2,2,4,3,55,27.2,17.9,12.9,8.4,8.4,6.3,8.6,18.2,31.7
3,44,22,8,22,16,27,6,8,1,3,2,4,2.8,49,23.4,17.2,11.7,7.8,7.6,5.5,7.7,18.4,30
4,45,24,9,29,18,26,6,4,2,2,1,3,2.5,57,28.9,21,13.3,8.5,8.3,5.3,9.7,22,33.7
3,45,22,8,23,15,26,6,7,1,2,2,4,2.8,50,24.9,16.2,11.3,7.4,7.8,5.4,8.3,17.2,27.4
