Species_num,MBS,VSN,CSN,GSN,FPNr,SDLr,SCSr,SCGr,SMr,MTr,PA,PTMr,aNDSr,SVL,TRL,HL,PL,ESD,HW,HH,MO,FFL,HFL
3,45,25,7,25,18,27,6,11,0,2,2,2,2.7,56.5,32.8,19,11.9,7.5,7.5,5.4,7.8,17.8,28.9
3,42,25,7,24,16,26,7,8,1,1,2,2,2.6,50,26.5,16.4,10.7,7.2,6.6,4.9,7.4,16.3,26.4
3,40,26,8,21,14,25,5,8,2,1,3,2,2.9,48,23.6,15.5,10.2,6.6,6.5,4.7,7.1,16.4,25.9
3,44,23,7,23,14,24,7,8,1,3,3,4,2.6,53,26,17.5,10.9,6.9,6.7,5.4,7.6,18.5,29.2
4,49,26,8,31,20,22,7,5,1,3,1,1,2.1,52,29.6,16.7,11.7,7.5,7.3,5.2,8,19,28.5
4,45,25,8,30,18,24,6,5,2,2,1,1,2.1,54,29.1,17.9,11.5,7.2,7.6,5.1,7.8,17.9,27.4
4,52,27,7,31,17,25,7,3,2,2,1,1,3,50.5,26.5,17.1,11.4,7,7.3,5.2,7.6,17.4,28.6
4,51,28,9,30,18,23,7,4,2,3,2,2,2.7,70,42.8,21.5,14.5,9.2,9.7,6.8,9.3,22.7,35.5
4,47,26,8,30,16,23,6,5,1,3,2,3,2.4,75,45.3,20.4,15,9.9,9.4,6.7,10.2,22.1,35.9
3,43,24,8,21,14,25,6,11,0,0,2,1,3,58,32.7,18.9,12.1,7.9,7.5,5.3,8,18.3,28.4
4,45,25,8,32,18,22,6,4,1,2,2,1,2,72.5,40,23.3,14.3,8.9,9,6.4,9.9,22.4,33
4,45,27,8,31,18,23,6,6,1,2,1,1,2.8,69,38.8,20.5,13.6,8.6,8.8,6.1,9.7,22.7,35.6
3,45,24,6,21,14,23,5,7,1,2,3,4,3,48,23.2,15.5,10.3,6.6,6.2,4.9,7.2,16.6,24.4
4,48,24,7,30,18,25,6,6,2,3,2,1,2.9,47,24.2,16.4,11.6,7,7.4,5.3,7.7,16.6,27.5
4,51,23,8,32,19,27,7,7,2,3,1,1,2.6,48.5,23.7,16.8,11.3,7.3,7,5.2,8,17.6,28.4
4,50,25,8,31,18,25,7,3,1,2,2,1,2.5,48,24.4,16.3,10.8,7,7,4.9,7.7,17.3,27
5,37,24,7,17,8,18,6,0,1,2,2,1,2,50,30.2,15.7,10.1,6.7,6.3,5.3,6.4,15.8,22.7
4,47,27,10,31,18,25,6,4,2,2,2,1,2.4,73,42.7,22.6,14.7,9.2,9.5,6.5,10.5,24.8,37.2
